,name,header,image,bio
0,Louis Benjamin Huber Defeuille,Louis Benjamin Huber Defeuille,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
1,Jacques Thouron,Jacques Thouron,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
2,Unknown,Unknown,/wiki/File:Disambig_gray.svg,['Unknown or The Unknown may refer to:\n']
3,Jean-Baptiste Nini,Jean-Baptiste Nini,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
4,H. Sanford,H. Sanford,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
5,William P. Babcock,William P. Babcock,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
6,Gilbert Stuart,Gilbert Stuart,/wiki/File:Gilbert_Stuart_crop.jpg,"[""Gilbert Charles Stuart (born Stewart; December 3, 1755 – July 9, 1828) was an American painter from Rhode Island Colony who is widely considered one of America's foremost portraitists.[2] His best known work is the unfinished portrait of George Washington, begun in 1796, that is sometimes referred to as the Athenaeum Portrait. Stuart retained the portrait and used it to paint scores of copies that were commissioned by patrons in America and abroad. The image of George Washington featured in the painting has appeared on the United States one-dollar bill for more than a century[2] and on various postage stamps of the 19th century and early 20th century.[3]\n""]"
7,Charles Caryl Coleman,Charles Caryl Coleman,/wiki/File:Charles_Caryl_Coleman_by_Oliver_Ingraham_Lay_(ca._1876)_bw.jpg,"['Charles Caryl Coleman (April 25, 1840, Buffalo, New York – December 5, 1928, Capri, Italy) was an American artist.[1]\n']"
8,Henry Inman,Henry Inman,/wiki/File:Disambig_gray.svg,['Henry Inman may refer to:\n']
9,John La Farge,John La Farge,/wiki/File:Portrait_of_John_LaFarge.jpg,"['John La Farge (March 31, 1835 – November 14, 1910) was an American painter, muralist, stained glass window maker, decorator, and writer.\n']"
10,Albert Pinkham Ryder,Albert Pinkham Ryder,/wiki/File:Albert_Pinkham_Ryder.jpg,"['Albert Pinkham Ryder (March 19, 1847 – March 28, 1917) was an American painter best known for his poetic and moody allegorical works and seascapes, as well as his eccentric personality. While his art shared an emphasis on subtle variations of color with tonalist works of the time, it was unique for accentuating form in a way that some art historians regard as modernist.\n']"
