,Surname,First_name,Full_name,Birth_date,Death_date,Artist_id
0,Defeuille,Louis Benjamin Huber,Louis Benjamin Huber Defeuille,Unknown,Unknown      ,0
1,Thouron,Jacques,Jacques Thouron,Unknown,Unknown      ,1
2,Unknown,blank_,Unknown,Unknown,Unknown,2
3,Nini,Jean-Baptiste,Jean-Baptiste Nini,1717      ,1786      ,3
4,Sanford,H.,H. Sanford,1783      ,1822      ,4
5,Babcock,William P.,William P. Babcock,1826      ,1899      ,5
6,Stuart,Gilbert,Gilbert Stuart,1755      ,1828      ,6
7,Coleman,Charles Caryl,Charles Caryl Coleman,1840      ,1928      ,7
8,Inman,Henry,Henry Inman,1801      ,1846      ,8
9,La Farge,John,John La Farge,1835      ,1910      ,9
10,Ryder,Albert Pinkham,Albert Pinkham Ryder,1847      ,1917      ,10
11,Abbey,Edwin Austin,Edwin Austin Abbey,1852      ,1911      ,11
12,Alexander,Francis,Francis Alexander,1800      ,1880      ,12
13,Alexander,Henry,Henry Alexander,1860      ,1894      ,13
14,Alexander,John White,John White Alexander,1856      ,1915      ,14
15,Allston,Washington,Washington Allston,1779      ,1843      ,15
16,Ames,Ezra,Ezra Ames,1768      ,1836      ,16
17,Ames,Joseph Alexander,Joseph Alexander Ames,1816      ,1872      ,17
18,Andrews,Ambrose,Ambrose Andrews,1801      ,1877      ,18
19,Anshutz,Thomas,Thomas Anshutz,1851      ,1912      ,19
20,Audubon,John Woodhouse,John Woodhouse Audubon,1812      ,1862      ,20
21,Badger,Joseph,Joseph Badger,1708      ,1765      ,21
22,Baker,G.,G. Baker,1835      ,1935      ,22
23,Baker,George Augustus Jr.,George Augustus Jr. Baker,1821      ,1880      ,23
24,Bean,W. H.,W. H. Bean,1830      ,1900      ,24
25,Beaux,Cecilia,Cecilia Beaux,1855      ,1942      ,25
26,Beckwith,J. Carroll,J. Carroll Beckwith,1852      ,1917      ,26
27,Benbridge,Henry,Henry Benbridge,1743      ,1812      ,27
28,Benson,Frank W.,Frank W. Benson,1862      ,1951      ,28
29,Bierstadt,Albert,Albert Bierstadt,1830      ,1902      ,29
30,Bingham,George Caleb,George Caleb Bingham,1811      ,1879      ,30
31,Blackburn,Joseph,Joseph Blackburn,1715      ,1815      ,31
32,Blakelock,Ralph Albert,Ralph Albert Blakelock,1847      ,1919      ,32
33,Blashfield,Edwin Howland,Edwin Howland Blashfield,1848      ,1936      ,33
34,Blondel,Jacob D.,Jacob D. Blondel,1817      ,1877      ,34
35,Blum,Robert Frederick,Robert Frederick Blum,1857      ,1903      ,35
36,Blythe,David Gilmour,David Gilmour Blythe,1815      ,1865      ,36
37,Boetticher,Otto,Otto Boetticher,1816      ,1865      ,37
38,Bogert,George H.,George H. Bogert,1864      ,1944      ,38
39,Boggs,Frank Myers,Frank Myers Boggs,1855      ,1926      ,39
40,Bradford,William,William Bradford,1823      ,1892      ,40
41,Bradley,John,John Bradley,1790      ,1890      ,41
42,Bricher,Alfred Thompson,Alfred Thompson Bricher,1837      ,1908      ,42
43,Brown,George Loring,George Loring Brown,1814      ,1889      ,43
44,Brown,John George,John George Brown,1831      ,1913      ,44
45,Brown,Mather,Mather Brown,1761      ,1831      ,45
46,Brownell,Matilda Auchincloss,Matilda Auchincloss Brownell,1871      ,1966      ,46
47,Brush,George de Forest,George de Forest Brush,1855      ,1941      ,47
48,Bunce,William Gedney,William Gedney Bunce,1840      ,1916      ,48
49,Bunker,Dennis Miller,Dennis Miller Bunker,1861      ,1890      ,49
50,Burroughs,Bryson,Bryson Burroughs,1869      ,1934      ,50
51,Butler,Howard Russel,Howard Russel Butler,1856      ,1934      ,51
52,Butler,Theodore Earl,Theodore Earl Butler,1860      ,1936      ,52
53,Cafferty,James H.,James H. Cafferty,1819      ,1869      ,53
54,Carlin,John,John Carlin,1813      ,1891      ,54
55,Carlsen,Emil,Emil Carlsen,1853      ,1932      ,55
56,Carlson,John Fabian,John Fabian Carlson,1875      ,1945      ,56
57,Casilear,John William,John William Casilear,1811      ,1893      ,57
58,Cassatt,Mary,Mary Cassatt,1844      ,1926      ,58
59,Leslie,Charles Robert,Charles Robert Leslie,1794      ,1859      ,59
60,Edmonds,Francis William,Francis William Edmonds,1806      ,1863      ,60
61,Chalfant,Jefferson D.,Jefferson D. Chalfant,1856      ,1931      ,61
62,Chambers,Thomas,Thomas Chambers,1808      ,1867      ,62
63,Chanler,Robert Winthrop,Robert Winthrop Chanler,1872      ,1930      ,63
64,Chapman,John Gadsby,John Gadsby Chapman,1808      ,1889      ,64
65,Chappel,Alonzo,Alonzo Chappel,1828      ,1887      ,65
66,Chappel,William P.,William P. Chappel,1801      ,1878      ,66
67,Chase,William Merritt,William Merritt Chase,1849      ,1916      ,67
68,Chinnery,George,George Chinnery,1774      ,1852      ,68
69,Church,Frederic Edwin,Frederic Edwin Church,1826      ,1900      ,69
70,Coates,Edmund C.,Edmund C. Coates,1837      ,1872      ,70
71,Coffin,William,William Coffin,1855      ,1925      ,71
72,Cole,Thomas,Thomas Cole,1801      ,1848      ,72
73,Collins,Alfred Q.,Alfred Q. Collins,1855      ,1903      ,73
74,Colman,Samuel,Samuel Colman,1832      ,1920      ,74
75,Coman,Charlotte Buell,Charlotte Buell Coman,1833      ,1924      ,75
76,Cook,Nelson,Nelson Cook,1808      ,1892      ,76
77,Cooper,Colin Cambell,Colin Cambell Cooper,1856      ,1937      ,77
78,Copestick,Alfred,Alfred Copestick,1837      ,1859      ,78
79,Copley,John Singleton,John Singleton Copley,1738      ,1815      ,79
80,Couse,Eanger Irving,Eanger Irving Couse,1866      ,1936      ,80
81,Cox,Kenyon,Kenyon Cox,1856      ,1919      ,81
82,Cranch,Caroline,Caroline Cranch,1853      ,1931      ,82
83,Crane,Bruce,Bruce Crane,1857      ,1937      ,83
84,Cropsey,Jasper Francis,Jasper Francis Cropsey,1823      ,1900      ,84
85,Culverhouse,Johan Mengels,Johan Mengels Culverhouse,1820      ,1891      ,85
86,Dabo,Léon,Léon Dabo,1868      ,1960      ,86
87,Daingerfield,Elliott,Elliott Daingerfield,1859      ,1932      ,87
88,Dana,William P. W.,William P. W. Dana,1833      ,1927      ,88
89,Dannat,William,William Dannat,1853      ,1929      ,89
90,Davies,Arthur B.,Arthur B. Davies,1862      ,1928      ,90
91,Davis,Charles H,Charles H Davis,1856      ,1933      ,91
92,Decker,Joseph,Joseph Decker,1853      ,1924      ,92
93,Dessar,Louis Paul,Louis Paul Dessar,1867      ,1953      ,93
94,Dewey,Charles Melville,Charles Melville Dewey,1849      ,1937      ,94
95,Dewing,Thomas Wilmer,Thomas Wilmer Dewing,1851      ,1938      ,95
96,Dodge,William de Leftwich,William de Leftwich Dodge,1867      ,1935      ,96
97,Donoho,Ruger,Ruger Donoho,1858      ,1916      ,97
98,Doughty,Thomas,Thomas Doughty,1793      ,1856      ,98
99,Duncanson,Robert S.,Robert S. Duncanson,1821      ,1872      ,99
100,Dunlap,William,William Dunlap,1766      ,1839      ,100
101,Durand,Asher Brown,Asher Brown Durand,1796      ,1886      ,101
102,Durand,John,John Durand,1724      ,1824      ,102
103,Durrie,George Henry,George Henry Durrie,1820      ,1863      ,103
104,Duveneck,Frank,Frank Duveneck,1848      ,1919      ,104
105,Duyckinck,Gerrit,Gerrit Duyckinck,1660      ,1712      ,105
106,Eakins,Thomas,Thomas Eakins,1844      ,1916      ,106
107,Earl,Ralph,Ralph Earl,1751      ,1801      ,107
108,Earl,Ralph E. W.,Ralph E. W. Earl,1785      ,1838      ,108
109,Eddy,Oliver Tarbell,Oliver Tarbell Eddy,1799      ,1868      ,109
110,Eichholtz,Jacob,Jacob Eichholtz,1776      ,1842      ,110
111,Eksergian,Carnig,Carnig Eksergian,1859      ,1931      ,111
112,Elliott,Charles Loring,Charles Loring Elliott,1812      ,1868      ,112
113,Evans,James Guy,James Guy Evans,1798      ,1898      ,113
114,Fagnani,Joseph,Joseph Fagnani,1819      ,1873      ,114
115,Feke,Robert,Robert Feke,1708      ,1751      ,115
116,Field,Erastus Salisbury,Erastus Salisbury Field,1805      ,1900      ,116
117,Flagg,Charles Noel,Charles Noel Flagg,1848      ,1916      ,117
118,Foster,Ben,Ben Foster,1852      ,1926      ,118
119,Francis,John F.,John F. Francis,1808      ,1886      ,119
120,Franzen,August R.,August R. Franzen,1863      ,1938      ,120
121,Frazer,Oliver,Oliver Frazer,1808      ,1864      ,121
122,Frieseke,Frederick Carl,Frederick Carl Frieseke,1874      ,1939      ,122
123,Frothingham,James,James Frothingham,1786      ,1864      ,123
124,Fuller,George,George Fuller,1822      ,1884      ,124
125,Funk,Wilhelm Heinrich,Wilhelm Heinrich Funk,1866      ,1966      ,125
126,Gaugengigl,Ignaz Marcel,Ignaz Marcel Gaugengigl,1855      ,1932      ,126
127,Gay,Edward,Edward Gay,1837      ,1928      ,127
128,Gay,Walter,Walter Gay,1856      ,1937      ,128
129,Gifford,Robert Swain,Robert Swain Gifford,1840      ,1905      ,129
130,Gifford,Sanford Robinson,Sanford Robinson Gifford,1823      ,1880      ,130
131,Goldthwaite,Anne,Anne Goldthwaite,1869      ,1944      ,131
132,Goodwin,Arthur Clifton,Arthur Clifton Goodwin,1864      ,1929      ,132
133,Gray,Henry Peters,Henry Peters Gray,1819      ,1877      ,133
134,Groll,Albert Lorey,Albert Lorey Groll,1866      ,1952      ,134
135,Guy,Seymour Joseph,Seymour Joseph Guy,1824      ,1910      ,135
136,Haberle,John,John Haberle,1856      ,1933      ,136
137,Hale,Philip L.,Philip L. Hale,1865      ,1931      ,137
138,Hamilton,James,James Hamilton,1819      ,1878      ,138
139,Harding,Chester,Chester Harding,1792      ,1866      ,139
140,Harnett,William Michael,William Michael Harnett,1848      ,1892      ,140
141,Harrison,Alexander,Alexander Harrison,1853      ,1930      ,141
142,Hart,James M.,James M. Hart,1828      ,1901      ,142
143,Hart,William,William Hart,1823      ,1894      ,143
144,Haseltine,William Stanley,William Stanley Haseltine,1835      ,1900      ,144
145,Hassam,Childe,Childe Hassam,1859      ,1935      ,145
146,Havell,Robert,Robert Havell,1793      ,1878      ,146
147,Hawthorne,Charles Webster,Charles Webster Hawthorne,1872      ,1930      ,147
148,Heade,Martin Johnson,Martin Johnson Heade,1819      ,1904      ,148
149,Healy,George P. A.,George P. A. Healy,1813      ,1894      ,149
150,Henry,Edward Lamson,Edward Lamson Henry,1841      ,1919      ,150
151,Herter,Albert,Albert Herter,1871      ,1950      ,151
152,Hesselius,John,John Hesselius,1728      ,1778      ,152
153,Hicks,Edward,Edward Hicks,1780      ,1849      ,153
154,Hicks,Thomas,Thomas Hicks,1823      ,1890      ,154
155,Hidley,Joseph H.,Joseph H. Hidley,1830      ,1872      ,155
156,Hill,John Henry,John Henry Hill,1839      ,1922      ,156
157,Hill,Thomas,Thomas Hill,1829      ,1908      ,157
158,Hinckley,Thomas Hewes,Thomas Hewes Hinckley,1813      ,1896      ,158
159,Hitchcock,George,George Hitchcock,1850      ,1913      ,159
160,Hofmann,Charles C.,Charles C. Hofmann,1820      ,1882      ,160
161,Homer,Winslow,Winslow Homer,1836      ,1910      ,161
162,Hopkinson,Charles,Charles Hopkinson,1869      ,1962      ,162
163,Hovenden,Thomas,Thomas Hovenden,1840      ,1895      ,163
164,Hubard,William James,William James Hubard,1809      ,1862      ,164
165,Hubbard,Richard William,Richard William Hubbard,1816      ,1888      ,165
166,Hunt,William Morris,William Morris Hunt,1824      ,1879      ,166
167,Hunten,F. G. W.,F. G. W. Hunten,Unknown,Unknown,167
168,Huntington,Daniel,Daniel Huntington,1816      ,1906      ,168
169,Ingham,Charles Cromwell,Charles Cromwell Ingham,1786      ,1863      ,169
170,Inness,George,George Inness,1825      ,1894      ,170
171,Jarvis,Charles Wesley,Charles Wesley Jarvis,1812      ,1868      ,171
