,Department,Object Name,Title,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Medium,Classification,Link Resource,Artist_Surname,Artist_First_Name
411,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,Unknown,Unknown      ,1800,1883,Ivory,Paintings,http://www.metmuseum.org/art/collection/search/466,Defeuille, Louis Benjamin Huber
412,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,Unknown,Unknown      ,1776,1883,Enamel,Paintings,http://www.metmuseum.org/art/collection/search/467,Thouron, Jacques
413,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,Unknown,Unknown      ,1776,1883,Ivory,Paintings,http://www.metmuseum.org/art/collection/search/468,Thouron, Jacques
414,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,Unknown,Unknown      ,1776,1883,Enamel,Paintings,http://www.metmuseum.org/art/collection/search/469,Thouron, Jacques
415,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,Unknown,Unknown,1776,1883,Probably porcelain,Paintings,http://www.metmuseum.org/art/collection/search/470,Unknown,Unknown
416,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,1717      ,1786      ,1776,1883,Ivory,Paintings,http://www.metmuseum.org/art/collection/search/471,Nini, Jean-Baptiste
417,American Decorative Arts,Painting,Portrait of Benjamin Franklin,Unknown,Unknown,1776,1883,Panel,Paintings,http://www.metmuseum.org/art/collection/search/472,Unknown,Unknown
418,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,Unknown,Unknown,1776,1883,Ivory,Paintings,http://www.metmuseum.org/art/collection/search/473,Unknown,Unknown
419,American Decorative Arts,Painting,Plaque Portrait of Benjamin Franklin,Unknown,Unknown,1776,1883,Oil on cardboard,Paintings,http://www.metmuseum.org/art/collection/search/474,Unknown,Unknown
420,American Decorative Arts,Painting,Portrait of Benjamin Franklin,Unknown,Unknown,1776,1883,Ivory,Natural Substances,http://www.metmuseum.org/art/collection/search/475,Unknown,Unknown
427,American Decorative Arts,Painting,Portrait of Benjamin Franklin,Unknown,Unknown,1776,1883,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/482,Unknown,Unknown
428,American Decorative Arts,Painting,Portrait of Benjamin Franklin,Unknown,Unknown,1776,1883,Panel,Paintings,http://www.metmuseum.org/art/collection/search/483,Unknown,Unknown
429,American Decorative Arts,Painting,Medallion of Benjamin Franklin,Unknown,Unknown,1776,1883,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/484,Unknown,Unknown
430,American Decorative Arts,Painting,Portrait of Benjamin Franklin,1783      ,1822      ,1776,1883,Panel,Paintings,http://www.metmuseum.org/art/collection/search/485,Sanford, H.
431,American Decorative Arts,Painting,Portrait of Benjamin Franklin,Unknown,Unknown,1776,1883,Canvas,Paintings,http://www.metmuseum.org/art/collection/search/486,Unknown,Unknown
445,American Decorative Arts,Painting,Portrait of Benjamin Franklin,Unknown,Unknown,1800,1883,Silk,Paintings,http://www.metmuseum.org/art/collection/search/500,Unknown,Unknown
3681,American Decorative Arts,Painting,Panel of George Washington,1826      ,1899      ,1846,1883,Panel,Paintings,http://www.metmuseum.org/art/collection/search/3926,Babcock, William P.
