,Artist_Surname,Artist_First_Name
411,Defeuille,Louis Benjamin Huber
412,Thouron,Jacques
415,Unknown,Unknown
416,Nini,Jean-Baptiste
430,Sanford,H.
3681,Babcock,William P.
3723,Stuart,Gilbert
4872,Coleman,Charles Caryl
7038,Inman,Henry
9324,La Farge,John
9331,Ryder,Albert Pinkham
9339,Abbey,Edwin Austin
9347,Alexander,Francis
9348,Alexander,Henry
9349,Alexander,John White
9356,Allston,Washington
9361,Ames,Ezra
9362,Ames,Joseph Alexander
9363,Andrews,Ambrose
9366,Anshutz,Thomas
9367,Audubon,John Woodhouse
9371,Badger,Joseph
9372,Baker,G.
9377,Baker,George Augustus Jr.
9398,Bean,W. H.
9400,Beaux,Cecilia
9405,Beckwith,J. Carroll
9410,Benbridge,Henry
9416,Benson,Frank W.
9423,Bierstadt,Albert
9432,Bingham,George Caleb
9443,Blackburn,Joseph
9447,Blakelock,Ralph Albert
9453,Blashfield,Edwin Howland
9454,Blondel,Jacob D.
9455,Blum,Robert Frederick
9460,Blythe,David Gilmour
9463,Boetticher,Otto
9464,Bogert,George H.
9467,Boggs,Frank Myers
9474,Bradford,William
9476,Bradley,John
9479,Bricher,Alfred Thompson
9486,Brown,George Loring
9489,Brown,John George
9496,Brown,Mather
9500,Brownell,Matilda Auchincloss
9501,Brush,George de Forest
9507,Bunce,William Gedney
9508,Bunker,Dennis Miller
9586,Burroughs,Bryson
9599,Butler,Howard Russel
9600,Butler,Theodore Earl
9601,Cafferty,James H.
9619,Carlin,John
9623,Carlsen,Emil
9625,Carlson,John Fabian
9628,Casilear,John William
9635,Cassatt,Mary
9665,Leslie,Charles Robert
9667,Edmonds,Francis William
9674,Chalfant,Jefferson D.
9675,Chambers,Thomas
9677,Chanler,Robert Winthrop
9678,Chapman,John Gadsby
9679,Chappel,Alonzo
9680,Chappel,William P.
9707,Chase,William Merritt
9721,Chinnery,George
9723,Church,Frederic Edwin
9734,Coates,Edmund C.
9736,Coffin,William
9739,Cole,Thomas
9745,Collins,Alfred Q.
9747,Colman,Samuel
9752,Coman,Charlotte Buell
9758,Cook,Nelson
9761,Cooper,Colin Cambell
9763,Copestick,Alfred
9764,Copley,John Singleton
9797,Couse,Eanger Irving
9799,Cox,Kenyon
9806,Cranch,Caroline
9810,Crane,Bruce
9818,Cropsey,Jasper Francis
9830,Culverhouse,Johan Mengels
9845,Dabo,Léon
9848,Daingerfield,Elliott
9850,Dana,William P. W.
9851,Dannat,William
9854,Davies,Arthur B.
9936,Davis,Charles H
9940,Decker,Joseph
9943,Dessar,Louis Paul
